rowid,uuid,fid,seq,lat,lon,elv,ortho_ht,time,start_time,instrument_ht,fix_quality,speed,snap_id,bearing,accuracy_h,accuracy_v,pos_data,additional_data
1,5B74F7C3-728B-4160-90B5-F7A30E40C0B1,DCE1FF12-2F22-4BE9-A146-88D866FBAA4E,0,44.879019515,-1.220342607,48.9754,0,1781087916000,1781087916000,0,1,0,,180.9936,5.9751,5.1517,,
2,4095604C-B437-4738-A1E6-D6DECD0F8E4B,E77BCF9F-6E72-4B68-AF7C-752701B3BC99,0,44.879012569,-1.220145118,49.8263,0,1781087956000,1781087956000,0,1,0,,119.0256,3.9115,3.3945,,
3,30E5B802-1D54-4E4D-8501-DE8F43345218,3D4B8CBE-0A5C-492F-9642-92B9414DFB70,0,44.878830467,-1.219080757,65.7902,0,1781088146000,1781088146000,0,1,0,,77.1066,3.9286,3.361,,
4,1508EB63-1269-45B1-98CF-4774B7775A86,FA5D9063-6ECA-49F5-A94A-985CA2DABE6E,0,44.878661711,-1.217644968,64.3754,0,1781088369000,1781088369000,0,1,0,,68.3225,3.7925,3.191,,
5,4CA0660D-D178-409A-A56E-2EAE450C4427,D9E12C66-0554-47EE-BF72-A96A2145E4AD,0,44.878660873,-1.217558746,64.0396,0,1781088473000,1781088473000,0,1,0,,282.78,7.2309,6.191,,
6,A282CF0B-5462-4ABA-99D8-47F600C1E0C4,CB9AC136-30F3-42D9-BD46-160AB9A640C1,0,44.878645748,-1.217404321,61.2573,0,1781088593000,1781088593000,0,1,0,,337.4179,5.8251,4.9884,,
7,FA7DECD6-042C-4079-B1DB-8815EE47AB8C,D89D89A5-8899-419C-8522-0577D0AC643E,0,44.87859794,-1.21688934,54.1918,0,1781088869000,1781088869000,0,1,0,,148.278,4.9429,4.1952,,
8,63C0E67A-D231-477A-8911-836A5DDC0640,99737A47-1DAA-4A3A-9A6A-C7F96A85D6C8,0,44.86872409,-1.222068676,48.6975,0,1781096653689,1781096653689,0,1,0,,123.2807,5.2678,3,,
9,9B2E6193-6D2A-4D44-BED9-47E20979EA5B,13EB3ECE-B886-45D9-A6E6-3A9AE6674C6B,0,44.868687643,-1.221660847,51.7546,0,1781096804959,1781096804959,0,1,0,,98.518,4.1716,5.3025,,
10,23F19C6D-552F-424E-BE5E-9922BC836C1B,AF717DED-EE48-47D4-8BEE-51FBD10CCED8,0,44.868621863,-1.221450398,56.5412,0,1781096976984,1781096976984,0,1,0,,128.6783,5.3741,3,,
11,728DCEB9-D5A6-4C89-A38D-91F0FEE2CF82,"09F382EE-43A3-4A7D-B921-28505A3512F1",0,44.868582787,-1.221261544,61.0659,0,1781097139057,1781097139057,0,1,0,,223.5373,6.3812,3,,
12,FF0940F9-47B3-4B98-9118-5CDE810FB354,A7ED1DDE-4C4A-4090-94BE-AE6EEAB29300,0,44.868404327,-1.22015429,66.5062,0,1781097414000,1781097414000,0,1,0,,12.5539,4.7487,4.3896,,
13,E5F74A5B-E575-489F-A32A-5B3736A6853E,2CBCD5FF-CF97-4E88-8EFD-0FE1047D1AE8,0,44.868281676,-1.218854208,61.6656,0,1781097624000,1781097624000,0,1,0,,176.6944,4.0255,3,,
14,642742C6-5F2B-4393-893C-C0AAFA91327B,56D39793-769A-4C29-A521-8DECED222F80,0,44.868227462,-1.218692957,64.5335,0,1781097767225,1781097767225,0,1,0,,73.006,8.0236,11.4753,,
